reason,folder,filename
loop,"Live Masters 2010/13 PANCHKULA 11 - 12 APR 2010/13 APR - PITAMBERDHARAN CELEBRATION - 815 AM","2 COMPLETE SITTING (PART-2).json"
loop,"Live Masters 2010/19 SOLAN 29 - 31 OCT 2010/31 OCT - 6$ - 1130 AM","12 SAMBODHAN.json"
loop,"Live Masters 2010/21 DELHI 5 - 7 NOV 2010/6 NOV - 4$ - 1130 AM","02 MEDITATION (WITHOUT OM).json"
loop,"Live Masters 2010/21 DELHI 5 - 7 NOV 2010/7 NOV - 7$ - 1130 AM","03 BAREY PREM SE DO GHARI.json"
loop,"Live Masters 2010/25 BATHINDA 26 - 29 DEC 2010/28 NOV - 6$ - 1130 AM","06 BHAAV KE BHUKHEY HAIN.json"
loop,"Live Masters 2010/27 SRI GANGANAGAR 1 - 5 DEC 2010/1 DEC - 1$ - 6 PM","02 MEDITATION & PRAVACHAN.json"
loop,"Live Masters 2010/30 LUDHIANA 17 - 19 DEC 2010/18 DEC - 2$ - 11 AM","02 MEDITATION (WITHOUT OM).json"
loop,"Live Masters 2011/03 ASHOK VIHAR DELHI 18 - 20 FEB 2011/19 FEB - 4$ - 630 PM","05 JAB MERA DARD TERE SAATH.json"
loop,"Live Masters 2011/03 ASHOK VIHAR DELHI 18 - 20 FEB 2011/19 FEB - 4$ - 630 PM","07 ZINDAGI KA KHEL HANSTE HANSTE.json"
loop,"Live Masters 2011/06 TTP DELHI 25 - 27 MAR 2011/25 MAR - 2$ - 630 PM","05 CHIRAG-E-ISHQ JALAO.json"
loop,"Live Masters 2011/06 TTP DELHI 25 - 27 MAR 2011/27 MAR - 6$ - 630 PM","03 JAGIYE ISI JANAM MEIN.json"
loop,"Live Masters 2011/07 PANCHKULA 11 - 12 APR 2011/13 APR - PITAMBERDHARAN $ - 830 AM","08 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2011/08 SOLAN 14 - 17 APR 2011/16 APR - 5$ - 630 AM","02 PRAVACHAN (CHHORO JAHAN KI).json"
loop,"Live Masters 2011/08 SOLAN 14 - 17 APR 2011/16 APR - 7$ - 630 PM","05 NA TAZDARAN DE.json"
loop,"Live Masters 2011/09 MANALI 14 - 17 MAY 2011/17 MAY - 8$ - 6 PM","16 SAMBODHAN.json"
loop,"Live Masters 2011/10 SHIMLA 12 - 14 JUNE 2011/13 JUNE - 6$ - 630 PM","08 ANNOUNCEMENT (NEELIMA JI).json"
loop,"Live Masters 2011/11 GURUPURNIMA DELHI 14 - 17 JULY 2011/14 JUL - 1$ - 11 AM","1 COMPLETE SITTING (SONY RECORDER).json"
loop,"Live Masters 2011/11 GURUPURNIMA DELHI 14 - 17 JULY 2011/16 JUL - 6$ - 6 AM","06 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2011/11 GURUPURNIMA DELHI 14 - 17 JULY 2011/16 JUL - 6$ - 6 AM","2 COMPLETE SITTING (SONY RECORDER).json"
loop,"Live Masters 2011/12 CHAIL 28 - 31 JULY 2011/30 JULY - 7$ - 6 PM","04 JO RAAH CHUNI TUMNE.json"
loop,"Live Masters 2011/13 CHANDIGARH 16 - 18 SEP 2011/17 SEP - 3$ - 6 PM","03 NA HAI DAIR KI ZARURAT.json"
loop,"Live Masters 2011/16 CHANDIGARH 23 - 25 DEC 2011/23 DEC - 1$ - 6 PM","04 CHAIN TUMSE KARAR TUMSE HAI.json"
loop,"Live Masters 2011/16 CHANDIGARH 23 - 25 DEC 2011/25 DEC - 5$ - 1130 AM","05 SAMBODHAN.json"
loop,"Live Masters 2012/01 NOIDA 6 - 8 JAN 2012/7 JAN - 3$ - 6 PM","03 OM GURUVE NAMAH.json"
loop,"Live Masters 2012/01 NOIDA 6 - 8 JAN 2012/7 JAN - 3$ - 6 PM","05 SARE JAG KO DEKH.json"
loop,"Live Masters 2012/03 PUNJABI BAGH DELHI 14 - 15 JAN 2012/14 JAN - 1$ - 6 PM","03 NA HAI DAIR KI ZARURAT.json"
loop,"Live Masters 2012/03 PUNJABI BAGH DELHI 14 - 15 JAN 2012/15 JAN - 2$ - 730 AM","02 MEDITATION (WITHOUT OM).json"
loop,"Live Masters 2012/05 PALLA ROAD DELHI 23 - 29 JAN 2012/24 JAN - 2$ - 1130 AM","1 COMPLETE SITTING (IC RECORDER).json"
loop,"Live Masters 2012/05 PALLA ROAD DELHI 23 - 29 JAN 2012/28 JAN - 9$ - 1130 AM","04 APNI ZINDAGI KO TERE NAAM.json"
loop,"Live Masters 2012/05 PALLA ROAD DELHI 23 - 29 JAN 2012/28 JAN - 9$ - 1130 AM","1 COMPLETE SITTING (IC RECORDER).json"
loop,"Live Masters 2012/05 PALLA ROAD DELHI 23 - 29 JAN 2012/29 JAN - 11$ - 11 AM","02 MEDITATION.json"
loop,"Live Masters 2012/06 NARAINA DELHI 19 - 21 FEB 2012/21 FEB - 5$ - 630 PM","1 CMPLETE SITTING (IC RECORDER).json"
loop,"Live Masters 2012/12 SEC-9 PANCHKULA 12 - 13 APR 2012/12 APR - 1$ - 1030 PM","05 SAMBODHAN.json"
loop,"Live Masters 2012/14 GURUPURNIMA DELHI 1 - 3 JULY 2012/3 JULY - 6$ - 7 AM","04 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2012/14 GURUPURNIMA DELHI 1 - 3 JULY 2012/3 JULY - 6$ - 7 AM","1 COMPLETE SITTING.json"
loop,"Live Masters 2012/15 HB CHANDIGARH 5 - 7 OCT 2012/5 OCT - 1$ - 630 PM","06 SAMBODHAN & PRAVACHAN.json"
loop,"Live Masters 2012/15 HB CHANDIGARH 5 - 7 OCT 2012/6 OCT - 3$ - 630 PM","04 ISHQ HOTA NAHI.json"
loop,"Live Masters 2012/16 KUMRA PALACE LUUDHIANA 12 - 14 OCT 2012/12 OCT - 1$ - 630 PM","02 PRAVACHAN & MEDITATION.json"
loop,"Live Masters 2012/16 KUMRA PALACE LUUDHIANA 12 - 14 OCT 2012/13 OCT - 2$ - 630 AM","03 BHULE HUE MUSAFIR.json"
loop,"Live Masters 2012/18 FARIDABAD 16 - 18 NOV 2012/18 NOV - 5$ - 11 AM","03 MAIN KHUD APNI TALAASH.json"
loop,"Live Masters 2012/19 BATHINDA 30 NOV - 2 DEC 2012/03 DEC - 6$ - 630 AM","03 TERI IK NAZAR KI KIMAT.json"
loop,"Live Masters 2013/02 GURU KIRPA DELHI 12 - 13 JAN 2013/12 JAN - 1$ - 11 AM","05 RAVACHAN & SAMBODHAN.json"
loop,"Live Masters 2013/04 ASHOK VIHAR DELHI 1 - 3 MAR 2013/2 MAR - 3$ - 630 PM","03 AA CHHOD KE SABHI .json"
loop,"Live Masters 2013/04 ASHOK VIHAR DELHI 1 - 3 MAR 2013/2 MAR - 3$ - 630 PM","04 TERE DAR KA JO DEKHA.json"
loop,"Live Masters 2013/05 MAHASHIVRATRI DELHI 9 - 10 MAR 2013/9 MAR - 1$ - 11 AM","03 PARAM PITA SE .json"
loop,"Live Masters 2013/06 PB CLUB DELHI 15 - 17 MAR 2013/16 MAR - 3$ - 6 PM","03 CHHOD FIQAR DUNIA KI.json"
loop,"Live Masters 2013/07 KUMRA PALACE LUDHIANA 29 - 31 MAR 2013/30 MAR - 3$ - 630 PM","03 AANE WALO YE TO BATAO.json"
loop,"Live Masters 2013/08 CLARKS INN SAHIBABAD 12 - 14 APR 2013/14 APR - 4$ - 7 AM","05 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2013/10 GURUPURNIMA DELHI 20 - 22 JULY 2013/21 JULY - 3$ - 11 AM","05 PITAMBERDHARAN CELEBRATION.json"
loop,"Live Masters 2013/12 KUMRA PALACE LUDHIANA 22 - 24 NOV 2013/24 NOV - 4$ - 1030 AM","03 JAGIYE ISI JANM MEIN.json"
loop,"Live Masters 2014/02 GURU KIRPA FARM DELHI 5 - 19 JAN 2014/11 JAN - 10$ - 1030 AM","04 ABHIMAN MEIN NA AANA.json"
loop,"Live Masters 2014/02 GURU KIRPA FARM DELHI 5 - 19 JAN 2014/12 JAN - 13$ - 1030 AM","02 MEDITATION.json"
loop,"Live Masters 2014/03 CHHATTARPUR DELHI 25 - 26 JAN 2014/25 JAN - 2$ - 1130 AM","04 OM GURUVE NAMAH.json"
loop,"Live Masters 2014/03 CHHATTARPUR DELHI 25 - 26 JAN 2014/25 JAN - 2$ - 1130 AM","05 SAMBODHAN.json"
loop,"Live Masters 2014/04 SEC - 28 GROUND FARIDABAD 7 - 9 FEB 2014/8 FEB - 3$ - 6 PM","04 TU NISHANE BENISHAN HAI.json"
